[info]09:28:07 tester (411.TEST, 21) getPromoData (0.25 s)[192.168.37.33]
[info]09:28:08 tester (411.TEST, 21) si-a luat promotiile (1.24 s)[192.168.37.33]
[info]09:28:15 tester (411.TEST, 21) getFrontpagArticles (5.83 s)[192.168.37.33]
[info]09:28:19 tester (411.TEST, 21) ia preturi pentru 54 articole (3.80 s)[192.168.37.33]
[info]09:56:35 tester (411.TEST, 21) ia producatorii (0.09 s)[192.168.37.33]
[info]09:56:36 tester (411.TEST, 21) ia modele pentru 502 (0.27 s)[192.168.37.33]
[info]09:56:36 tester (411.TEST, 21) ia motorizari 278 (0.66 s)[192.168.37.33]
[info]09:56:36 tester (411.TEST, 21) ia motorizari 1321 (0.28 s)[192.168.37.33]
[info]09:56:37 tester (411.TEST, 21) ia motorizari 4735 (0.37 s)[192.168.37.33]
[info]09:56:37 tester (411.TEST, 21) ia motorizari 282 (0.29 s)[192.168.37.33]
[info]09:56:37 tester (411.TEST, 21) ia motorizari 2053 (0.09 s)[192.168.37.33]
[info]09:56:38 tester (411.TEST, 21) ia motorizari 4635 (0.30 s)[192.168.37.33]
[info]09:56:38 tester (411.TEST, 21) ia motorizari 5452 (0.49 s)[192.168.37.33]
[info]09:56:38 tester (411.TEST, 21) ia motorizari 5543 (0.24 s)[192.168.37.33]
[info]09:56:39 tester (411.TEST, 21) ia motorizari 287 (0.57 s)[192.168.37.33]
[info]09:56:39 tester (411.TEST, 21) ia motorizari 3891 (0.45 s)[192.168.37.33]
[info]09:56:41 tester (411.TEST, 21) ia motorizari 1818 (0.21 s)[192.168.37.33]
[info]09:56:41 tester (411.TEST, 21) ia motorizari 7546 (0.11 s)[192.168.37.33]
[info]09:56:41 tester (411.TEST, 21) ia motorizari 4626 (0.31 s)[192.168.37.33]
[info]09:56:41 tester (411.TEST, 21) ia motorizari 7549 (0.22 s)[192.168.37.33]
[info]09:56:41 tester (411.TEST, 21) ia motorizari 7548 (0.09 s)[192.168.37.33]
[info]09:56:42 tester (411.TEST, 21) ia motorizari 7547 (0.22 s)[192.168.37.33]
[info]09:56:42 tester (411.TEST, 21) ia motorizari 291 (0.49 s)[192.168.37.33]
[info]09:56:42 tester (411.TEST, 21) ia motorizari 295 (0.27 s)[192.168.37.33]
[info]09:56:42 tester (411.TEST, 21) ia motorizari 300 (0.07 s)[192.168.37.33]
[info]09:56:43 tester (411.TEST, 21) ia motorizari 305 (0.25 s)[192.168.37.33]
[info]09:56:43 tester (411.TEST, 21) ia motorizari 11241 (0.26 s)[192.168.37.33]
[info]09:56:43 tester (411.TEST, 21) ia motorizari 13239 (0.09 s)[192.168.37.33]
[info]09:56:43 tester (411.TEST, 21) ia motorizari 309 (0.09 s)[192.168.37.33]
[info]09:56:43 tester (411.TEST, 21) ia motorizari 312 (0.10 s)[192.168.37.33]
[info]09:56:44 tester (411.TEST, 21) ia motorizari 9069 (0.25 s)[192.168.37.33]
[info]09:56:44 tester (411.TEST, 21) ia motorizari 9071 (0.22 s)[192.168.37.33]
[info]09:56:44 tester (411.TEST, 21) ia motorizari 316 (0.24 s)[192.168.37.33]
[info]09:56:44 tester (411.TEST, 21) ia motorizari 321 (0.26 s)[192.168.37.33]
[info]09:56:44 tester (411.TEST, 21) ia motorizari 325 (0.09 s)[192.168.37.33]
[info]09:56:45 tester (411.TEST, 21) ia motorizari 329 (0.25 s)[192.168.37.33]
[info]09:56:45 tester (411.TEST, 21) ia motorizari 339 (0.27 s)[192.168.37.33]
[info]09:56:45 tester (411.TEST, 21) ia motorizari 334 (0.25 s)[192.168.37.33]
[info]09:56:45 tester (411.TEST, 21) ia motorizari 3847 (0.16 s)[192.168.37.33]
[info]09:56:47 tester (411.TEST, 21) ia motorizari 3848 (0.23 s)[192.168.37.33]
[info]09:56:47 tester (411.TEST, 21) ia motorizari 3849 (0.21 s)[192.168.37.33]
[info]09:56:47 tester (411.TEST, 21) ia motorizari 3850 (0.23 s)[192.168.37.33]
[info]09:56:47 tester (411.TEST, 21) ia motorizari 353 (0.26 s)[192.168.37.33]
[info]09:56:48 tester (411.TEST, 21) ia motorizari 5479 (0.28 s)[192.168.37.33]
[info]09:56:48 tester (411.TEST, 21) ia motorizari 345 (0.27 s)[192.168.37.33]
[info]09:56:48 tester (411.TEST, 21) ia motorizari 3686 (0.22 s)[192.168.37.33]
[info]09:56:48 tester (411.TEST, 21) ia motorizari 483 (0.23 s)[192.168.37.33]
[info]09:56:49 tester (411.TEST, 21) ia motorizari 8603 (0.28 s)[192.168.37.33]
[info]09:56:49 tester (411.TEST, 21) ia motorizari 7551 (0.09 s)[192.168.37.33]
[info]09:56:49 tester (411.TEST, 21) ia motorizari 7552 (0.22 s)[192.168.37.33]
[info]09:56:49 tester (411.TEST, 21) ia motorizari 7550 (0.21 s)[192.168.37.33]
[info]09:56:49 tester (411.TEST, 21) ia motorizari 7554 (0.23 s)[192.168.37.33]
[info]09:56:50 tester (411.TEST, 21) ia motorizari 7553 (0.23 s)[192.168.37.33]
[info]09:56:50 tester (411.TEST, 21) ia motorizari 7555 (0.23 s)[192.168.37.33]
[info]09:56:50 tester (411.TEST, 21) ia motorizari 536 (0.10 s)[192.168.37.33]
[info]09:56:50 tester (411.TEST, 21) ia motorizari 5080 (0.28 s)[192.168.37.33]
[info]09:56:50 tester (411.TEST, 21) ia motorizari 4625 (0.21 s)[192.168.37.33]
[info]09:56:51 tester (411.TEST, 21) ia motorizari 3389 (0.24 s)[192.168.37.33]
[info]09:56:51 tester (411.TEST, 21) ia motorizari 1460 (0.27 s)[192.168.37.33]
[info]09:56:51 tester (411.TEST, 21) ia motorizari 7556 (0.24 s)[192.168.37.33]
[info]09:56:51 tester (411.TEST, 21) ia motorizari 7587 (0.26 s)[192.168.37.33]
[info]09:56:53 tester (411.TEST, 21) ia motorizari 1819 (0.07 s)[192.168.37.33]
[info]09:56:53 tester (411.TEST, 21) ia motorizari 3602 (0.21 s)[192.168.37.33]
[info]09:56:53 tester (411.TEST, 21) ia motorizari 10181 (0.26 s)[192.168.37.33]
[info]09:56:53 tester (411.TEST, 21) ia motorizari 289 (0.26 s)[192.168.37.33]
[info]09:56:54 tester (411.TEST, 21) ia motorizari 293 (0.24 s)[192.168.37.33]
[info]09:56:54 tester (411.TEST, 21) ia motorizari 1461 (0.25 s)[192.168.37.33]
[info]09:56:54 tester (411.TEST, 21) ia motorizari 5567 (0.17 s)[192.168.37.33]
[info]09:56:54 tester (411.TEST, 21) ia motorizari 3507 (0.07 s)[192.168.37.33]
[info]09:56:56 tester (411.TEST, 21) ia modele pentru 504 (1.48 s)[192.168.37.33]
[info]09:56:56 tester (411.TEST, 21) ia motorizari 10 (0.39 s)[192.168.37.33]
[info]09:56:57 tester (411.TEST, 21) ia motorizari 13 (0.55 s)[192.168.37.33]
[info]09:56:57 tester (411.TEST, 21) ia motorizari 19 (0.34 s)[192.168.37.33]
[info]09:56:57 tester (411.TEST, 21) ia motorizari 53 (0.31 s)[192.168.37.33]
[info]09:56:57 tester (411.TEST, 21) ia motorizari 25 (0.26 s)[192.168.37.33]
[info]09:56:59 tester (411.TEST, 21) ia motorizari 30 (0.34 s)[192.168.37.33]
[info]09:56:59 tester (411.TEST, 21) ia motorizari 36 (0.24 s)[192.168.37.33]
[info]09:56:59 tester (411.TEST, 21) ia motorizari 48 (0.24 s)[192.168.37.33]
[info]09:57:00 tester (411.TEST, 21) ia motorizari 172 (0.26 s)[192.168.37.33]
[info]09:57:00 tester (411.TEST, 21) ia motorizari 176 (0.25 s)[192.168.37.33]
[info]09:57:00 tester (411.TEST, 21) ia motorizari 1940 (0.25 s)[192.168.37.33]
[info]09:57:00 tester (411.TEST, 21) ia motorizari 433 (0.29 s)[192.168.37.33]
[info]09:57:01 tester (411.TEST, 21) ia motorizari 1500 (0.16 s)[192.168.37.33]
[info]09:57:01 tester (411.TEST, 21) ia motorizari 1501 (0.24 s)[192.168.37.33]
[info]09:57:01 tester (411.TEST, 21) ia motorizari 1502 (0.07 s)[192.168.37.33]
[info]09:57:01 tester (411.TEST, 21) ia motorizari 4553 (0.08 s)[192.168.37.33]
[info]09:57:01 tester (411.TEST, 21) ia motorizari 8554 (0.10 s)[192.168.37.33]
[info]09:57:01 tester (411.TEST, 21) ia motorizari 14 (0.17 s)[192.168.37.33]
[info]09:57:02 tester (411.TEST, 21) ia motorizari 26 (0.47 s)[192.168.37.33]
[info]09:57:02 tester (411.TEST, 21) ia motorizari 31 (0.16 s)[192.168.37.33]
[info]09:57:02 tester (411.TEST, 21) ia motorizari 1 (0.16 s)[192.168.37.33]
[info]09:57:02 tester (411.TEST, 21) ia motorizari 6 (0.26 s)[192.168.37.33]
[info]09:57:03 tester (411.TEST, 21) ia motorizari 8555 (0.22 s)[192.168.37.33]
[info]09:57:03 tester (411.TEST, 21) ia motorizari 78 (0.07 s)[192.168.37.33]
[info]09:57:03 tester (411.TEST, 21) ia motorizari 84 (0.17 s)[192.168.37.33]
[info]09:57:03 tester (411.TEST, 21) ia motorizari 8604 (0.34 s)[192.168.37.33]
[info]09:57:03 tester (411.TEST, 21) ia motorizari 9730 (0.23 s)[192.168.37.33]
[info]09:57:05 tester (411.TEST, 21) ia motorizari 4382 (0.27 s)[192.168.37.33]
[info]09:57:05 tester (411.TEST, 21) ia motorizari 1557 (0.37 s)[192.168.37.33]
